# message.txt 中有、但 wz-zh-CN/Mob.wz 没有的 dropperid（对照 V1.11.19 已插入批次）
# total_droppers=254 missing=130 present=124
# format: <mobId>  # <家族>
8644615  # 塞拉斯深度/神殿 / Soot Talon Card
8644616  # 塞拉斯深度/神殿 / Soot Slug Card
8644618  # 塞拉斯深度/神殿 / Crushing Glare Card
8644619  # 塞拉斯深度/神殿 / Burst Glare Card
8644700  # 闇黑神殿周边 / Entangled Fragment Card
8644701  # 闇黑神殿周边 / Faith Fragment Card
8644702  # 闇黑神殿周边 / Dark Miscreation Card
8644703  # 闇黑神殿周边 / Dark Construct Card
8644704  # 闇黑神殿周边 / Despairing Wing Card
8644705  # 闇黑神殿周边 / Despairing Blade Card
8644706  # 闇黑神殿周边 / Silent Knight Card
8644707  # 闇黑神殿周边 / Silent Scout Card
8644708  # 闇黑神殿周边 / Silent Rogue Card
8644709  # 闇黑神殿周边 / Silent Watchman Card
8644710  # 闇黑神殿周边 / Silent Assassin Card
8644711  # 闇黑神殿周边 / Despairing Soul Card
8644712  # 闇黑神殿周边 / Despairing Prisoner Card
8645011  # 终点神殿/Boss周边 / Ascendion Card
